Episode: 166, total numsteps: 166000, episode steps: 1000, reward: [-475.36579098 -417.86626425 -379.14446386 -373.82747758 -340.70478145]
Episode: 167, total numsteps: 167000, episode steps: 1000, reward: [-475.36579098 -417.56602428 -379.14187361 -373.67044765 -340.70478145]
Episode: 168, total numsteps: 168000, episode steps: 1000, reward: [-475.36579098 -418.63953942 -379.14446386 -374.60014464 -340.70478145]
Episode: 169, total numsteps: 169000, episode steps: 1000, reward: [-475.36579098 -417.75989878 -379.14446386 -373.65166706 -340.70478145]
Episode: 170, total numsteps: 170000, episode steps: 1000, reward: [-475.36579098 -417.32475009 -379.14446386 -374.36791468 -340.70478145]
Episode: 171, total numsteps: 171000, episode steps: 1000, reward: [-475.36579098 -417.64514265 -379.14446386 -374.63947722 -340.70478145]
Episode: 172, total numsteps: 172000, episode steps: 1000, reward: [-475.36579098 -417.88662041 -379.14446386 -374.89150082 -340.70478145]
Episode: 173, total numsteps: 173000, episode steps: 1000, reward: [-475.36579098 -418.21708674 -379.14446386 -373.57925521 -340.70478145]
Episode: 174, total numsteps: 174000, episode steps: 1000, reward: [-475.36579098 -418.63523905 -379.14446386 -374.9230708  -340.70478145]
Episode: 175, total numsteps: 175000, episode steps: 1000, reward: [-475.36579098 -418.233747   -379.14446386 -374.29852486 -340.70478145]
Episode: 176, total numsteps: 176000, episode steps: 1000, reward: [-475.36579098 -418.17395468 -379.14446386 -375.1736809  -340.70478145]
Episode: 177, total numsteps: 177000, episode steps: 1000, reward: [-475.36579098 -417.75156862 -379.14446386 -374.50427991 -340.70478145]
Episode: 178, total numsteps: 178000, episode steps: 1000, reward: [-475.36579098 -417.9408187  -379.14446386 -374.77775154 -340.70478145]
Episode: 179, total numsteps: 179000, episode steps: 1000, reward: [-475.36579098 -418.52135421 -379.14446386 -373.94385536 -340.70478145]
Episode: 180, total numsteps: 180000, episode steps: 1000, reward: [-475.36579098 -418.06280889 -379.14446386 -374.8366572  -340.70478145]
Episode: 181, total numsteps: 181000, episode steps: 1000, reward: [-475.36579098 -417.64954436 -379.14446386 -374.95706402 -340.70478145]
Episode: 182, total numsteps: 182000, episode steps: 1000, reward: [-475.36579098 -417.7343097  -379.14446386 -374.74111871 -340.70478145]
Episode: 183, total numsteps: 183000, episode steps: 1000, reward: [-475.36579098 -417.94830462 -379.14446386 -374.57811848 -340.70478145]
Episode: 184, total numsteps: 184000, episode steps: 1000, reward: [-475.36579098 -418.68298697 -379.14446386 -374.54409423 -340.70478145]
Episode: 185, total numsteps: 185000, episode steps: 1000, reward: [-475.36579098 -418.66705578 -379.14446386 -373.61998061 -340.70478145]
Episode: 186, total numsteps: 186000, episode steps: 1000, reward: [-475.36579098 -418.46738273 -379.14446386 -373.64148671 -340.70478145]
Episode: 187, total numsteps: 187000, episode steps: 1000, reward: [-475.36579098 -417.18644298 -379.14446386 -374.12744122 -340.70478145]
Episode: 188, total numsteps: 188000, episode steps: 1000, reward: [-475.36579098 -418.80357922 -379.14446386 -373.69449299 -340.70478145]
Episode: 189, total numsteps: 189000, episode steps: 1000, reward: [-475.36579098 -418.29576304 -379.14446386 -374.03244766 -340.70478145]
Episode: 190, total numsteps: 190000, episode steps: 1000, reward: [-475.36579098 -418.18908684 -379.14446386 -374.25484557 -340.70478145]
Episode: 191, total numsteps: 191000, episode steps: 1000, reward: [-475.36579098 -417.80683649 -379.14446386 -374.56489644 -340.70478145]
Episode: 192, total numsteps: 192000, episode steps: 1000, reward: [-475.36579098 -418.61564413 -379.14446386 -374.72757255 -340.70478145]
Episode: 193, total numsteps: 193000, episode steps: 1000, reward: [-475.36579098 -418.27956863 -379.14446386 -374.82632329 -340.70478145]
Episode: 194, total numsteps: 194000, episode steps: 1000, reward: [-475.36579098 -418.02961253 -379.14446386 -374.31514151 -340.70478145]
Episode: 195, total numsteps: 195000, episode steps: 1000, reward: [-475.36579098 -418.27257204 -379.14446386 -373.96383387 -340.70478145]
Episode: 196, total numsteps: 196000, episode steps: 1000, reward: [-475.36579098 -417.59640562 -379.14446386 -374.38613623 -340.70478145]
Episode: 197, total numsteps: 197000, episode steps: 1000, reward: [-475.36579098 -417.29348021 -379.14446386 -373.9240831  -340.70478145]
Episode: 198, total numsteps: 198000, episode steps: 1000, reward: [-475.36579098 -417.677089   -379.14446386 -373.61332297 -340.70478145]
